,Open,High,Low,Close,Volume
2023-01-30 11:38:00,222.473,222.501,222.413,222.456,145.0
2023-01-30 11:37:00,222.286,222.315,222.226,222.269,100.0
2023-01-30 11:34:00,222.787,222.83,222.707,222.75,1000.0
2023-01-30 11:32:00,222.63,222.658,222.569,222.613,121.0
2023-01-30 11:31:00,222.787,222.815,222.726,222.77,100.0
2023-01-30 11:30:00,222.988,223.036,222.928,222.991,400.0
2023-01-30 11:29:00,222.846,223.031,222.785,222.986,1190.0
2023-01-30 11:28:00,222.708,222.874,222.648,222.829,200.0
2023-01-30 11:27:00,222.541,222.57,222.481,222.524,100.0
2023-01-30 11:24:00,222.345,222.511,222.246,222.465,448.0
2023-01-30 11:23:00,222.414,222.511,222.354,222.465,200.0
2023-01-30 11:22:00,222.551,222.639,222.481,222.593,300.0
2023-01-30 11:21:00,222.698,222.727,222.638,222.681,100.0
2023-01-30 11:19:00,222.706,222.734,222.646,222.689,100.0
2023-01-30 11:17:00,222.757,222.786,222.589,222.632,300.0
2023-01-30 11:16:00,222.836,222.992,222.736,222.809,1800.0
2023-01-30 11:15:00,222.679,222.707,222.619,222.662,100.0
2023-01-30 11:11:00,222.826,222.923,222.766,222.878,665.0
2023-01-30 11:09:00,222.787,222.815,222.658,222.701,300.0
2023-01-30 11:00:00,223.16,223.188,222.864,222.907,602.0
2023-01-30 10:59:00,223.151,223.267,223.091,223.221,292.0
2023-01-30 10:58:00,223.376,223.404,223.315,223.359,100.0
2023-01-30 10:57:00,223.003,223.031,222.942,222.986,200.0
2023-01-30 10:56:00,222.748,222.874,222.687,222.829,400.0
2023-01-30 10:54:00,222.306,222.334,222.246,222.289,100.0
2023-01-30 10:53:00,222.532,222.56,222.432,222.475,234.0
2023-01-30 10:51:00,222.738,222.766,222.599,222.642,300.0
2023-01-30 10:49:00,223.12,223.149,222.864,222.907,200.0
2023-01-30 10:48:00,223.062,223.09,223.001,223.044,100.0
2023-01-30 10:47:00,223.194,223.223,223.134,223.177,100.0
2023-01-30 10:45:00,223.636,223.664,223.148,223.192,520.0
2023-01-30 10:44:00,223.471,223.58,223.411,223.534,1100.0
2023-01-30 10:43:00,223.592,223.65,223.227,223.29,500.0
2023-01-30 10:42:00,223.39,223.606,222.893,223.561,755.0
2023-01-30 10:41:00,223.327,223.355,223.036,223.079,304.0
2023-01-30 10:40:00,223.16,223.188,222.854,222.902,300.0
2023-01-30 10:39:00,222.512,222.697,222.373,222.569,1216.0
2023-01-30 10:38:00,222.316,222.344,222.246,222.289,300.0
2023-01-30 10:36:00,222.453,222.481,222.256,222.299,404.0
2023-01-30 10:34:00,222.714,222.742,222.471,222.515,342.0
2023-01-30 10:33:00,222.649,222.697,222.501,222.544,600.0
2023-01-30 10:32:00,222.659,222.728,222.589,222.632,1640.0
2023-01-30 10:31:00,222.566,222.697,222.501,222.652,1200.0
2023-01-30 10:29:00,222.237,222.315,222.177,222.269,400.0
2023-01-30 10:28:00,222.129,222.354,222.064,222.304,1900.0
2023-01-30 10:27:00,221.874,222.305,221.814,222.259,922.0
2023-01-30 10:26:00,222.061,222.089,221.775,221.818,300.0
2023-01-30 10:25:00,221.904,221.932,221.843,221.886,100.0
2023-01-30 10:24:00,222.021,222.05,221.755,221.798,468.0
2023-01-30 10:23:00,222.286,222.315,222.108,222.171,300.0
2023-01-30 10:22:00,222.168,222.295,222.096,222.188,1000.0
2023-01-30 10:21:00,222.002,222.03,221.735,221.965,300.0
2023-01-30 10:20:00,222.281,222.31,221.991,222.034,400.0
2023-01-30 10:19:00,222.286,222.315,222.226,222.269,100.0
2023-01-30 10:18:00,222.698,222.727,222.334,222.377,820.0
2023-01-30 10:17:00,222.384,222.413,222.324,222.367,100.0
2023-01-30 10:16:00,222.797,222.825,222.324,222.367,600.0
2023-01-30 10:15:00,222.354,222.442,222.04,222.397,325.0
2023-01-30 10:14:00,222.306,222.334,221.951,221.994,200.0
2023-01-30 10:13:00,222.453,222.481,222.069,222.294,500.0
2023-01-30 10:12:00,222.473,222.501,222.079,222.122,200.0
2023-01-30 10:11:00,222.149,222.177,222.089,222.132,100.0
2023-01-30 10:10:00,222.605,222.815,222.373,222.495,4302.0
2023-01-30 10:09:00,222.591,222.766,222.447,222.59,2504.0
2023-01-30 10:08:00,222.375,222.766,222.314,222.721,1032.0
2023-01-30 10:07:00,221.923,221.951,221.863,221.906,100.0
2023-01-30 10:05:00,222.237,222.266,221.956,222.097,600.0
2023-01-30 10:04:00,222.011,222.04,221.951,221.994,100.0
2023-01-30 10:03:00,222.031,222.133,221.961,222.004,300.0
2023-01-30 10:02:00,221.992,222.02,221.932,221.975,100.0
2023-01-30 10:01:00,222.139,222.246,222.079,222.201,300.0
2023-01-30 10:00:00,221.8,221.829,221.74,221.783,100.0
2023-01-30 09:59:00,222.069,222.098,222.009,222.052,100.0
2023-01-30 09:58:00,221.943,221.971,221.883,221.926,100.0
2023-01-30 09:57:00,222.213,222.241,222.152,222.196,100.0
2023-01-30 09:56:00,221.992,222.31,221.912,221.955,300.0
2023-01-30 09:55:00,221.923,221.951,221.863,221.906,100.0
2023-01-30 09:54:00,222.159,222.256,222.099,222.21,200.0
2023-01-30 09:53:00,222.62,222.648,222.334,222.377,300.0
